都道府県,"東京都,市区町村","広島市,福岡市",店舗名,所在地,latitude,longitude
北海道,,,札幌川下店,北海道 札幌市白石区 川下5条4丁目1-20,,
北海道,,,札幌北野店,北海道 札幌市清田区 北野6条5丁目6-36,,
北海道,,,イオンモール札幌平岡店,北海道 札幌市清田区 平岡三条5丁目3-1 イオンモール札幌平岡,,
北海道,,,札幌石山店,北海道 札幌市南区 石山2条9丁目7-50 アクロスプラザ札幌南,,
北海道,,,イオンモール札幌苗穂店,北海道 札幌市東区 東苗穂2条3丁目1-1 イオンモール札幌苗穂,,
秋田県,,,秋田駅店,秋田県 秋田市 中通7-1-2,,
秋田県,,,秋田東通店,秋田県 秋田市 東通4-5-20,,
秋田県,,,秋田保戸野学園通り店,秋田県 秋田市 保戸野鉄砲町14-18,,
秋田県,,,イオンモール秋田店,秋田県 秋田市 御所野地蔵田1-1-1,,
秋田県,,,秋田アルス店,秋田県 秋田市 中通7-2-1 秋田ステーションビル アルス,,
秋田県,,,秋田大学医学部附属病院店,秋田県 秋田市 広面蓮沼44-2 秋田大学医学部附属病院,,
秋田県,,,横手店,秋田県 横手市 条里1-6-21,,
秋田県,,,イオンモール大曲店,秋田県 大仙市 和合坪立177 イオンモール大曲,,
岩手県,,,盛岡菜園店,岩手県 盛岡市 菜園1-11-11 ホテルロイヤル盛岡,,
岩手県,,,盛岡フェザン店,岩手県 盛岡市 盛岡駅前通1-44 フェザン本館2FH,,
岩手県,,,イオンモール盛岡店,岩手県 盛岡市 前潟4-7-1,,
岩手県,,,盛岡西バイパス店,岩手県 盛岡市 北飯岡4-12-20,,
岩手県,,,イオンモール盛岡南店,岩手県 盛岡市 本宮7-1-1 イオンモール盛岡南,,
岩手県,,,一関店,岩手県 一関市 山目泥田55-1,,
岩手県,,,奥州水沢店,岩手県 奥州市 水沢佐倉河羽黒田57-2,,
岩手県,,,北上店,岩手県 北上市 北鬼柳18地割96-2,,
青森県,,,青森中央店,青森県 青森市 荒川藤戸134-2,,
青森県,,,八戸田向店,青森県 八戸市 田向2-12-11,,
青森県,,,八戸城下店,青森県 八戸市 城下4-2-1,,
青森県,,,TSUTAYA BOOKSTORE 弘前ヒロロ店,青森県 弘前市 駅前町9-20 ヒロロ,,
青森県,,,弘前さくら野店,青森県 弘前市 高崎2-17-6 さくら野百貨店,,
青森県,,,弘前公園前店,青森県 弘前市 高崎2-17-6 さくら野百貨店,,
青森県,,,弘前公園前店,青森県 弘前市 上白銀町1-1,,
青森県,,,青森ELM店,青森県 五所川原市 唐笠柳517-1 ELM,,
青森県,,,青森西バイパス店,青森県 青森市 三好2-2-36,,
青森県,,,青森ラビナ店,青森県 青森市 柳川1-2-3 青森駅ビル・ラビナ,,
青森県,,,八戸根城店,青森県 八戸市 根城7-11-30,,
青森県,,,イオンモール下田店,青森県 上北郡 おいらせ町中野平40-1 イオンモール下田,,
北海道,,,シエスタハコダテ店,北海道 函館市 本町24-1 シエスタハコダテ,,
北海道,,,函館ベイサイド店,北海道 函館市 末広町24-6 函館西波止場,,
北海道,,,函館蔦屋書店,北海道 函館市 石川町85-1,,
北海道,,,函館五稜郭駅前店,北海道 函館市 亀田本町46-1,,
北海道,,,イオンモール苫小牧店,北海道 苫小牧市 柳町3-1-20 イオンモール苫小牧,,
北海道,,,札幌グランドホテル店,北海道 札幌市中央区 北1条西4丁目 札幌グランドホテル 1F,,
北海道,,,大同生命札幌ビル ミレド地下1階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル地下1階,,
北海道,,,大同生命札幌ビル ミレド2階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル2階,,
北海道,,,札幌ステラプレイス センター1階店,北海道 札幌市中央区 北5条西2丁目5 JRタワー「ステラプレイス」,,
北海道,,,札幌ステラプレイス イースト2階店,北海道 札幌市中央区 北5条西2丁目5,,
北海道,,,札幌紀伊國屋書店,北海道 札幌市中央区 北5条西5丁目7 sapporo55　紀伊國屋書店内2階,,
北海道,,,イオン札幌桑園店,北海道 札幌市中央区 北5条西5丁目7 sapporo55　紀伊國屋書店内2階,,
北海道,,,イオン札幌桑園店,北海道 札幌市中央区 北8条西14丁目28 イオン札幌桑園ショッピングセンター,,
北海道,,,札幌南一条店,北海道 札幌市中央区 南1条西2丁目5 南一条Ｋビル 1F,,
北海道,,,札幌パルコ店,北海道 札幌市中央区 南1条西3丁目3 札幌パルコ,,
北海道,,,札幌パセオ店,北海道 札幌市北区 北6条西4丁目3-1 パセオ,,
北海道,,,札幌医科大学附属病院店,北海道 札幌市中央区 南1条西16丁目 札幌医科大学附属病院,,
北海道,,,北広島大曲店,北海道 北広島市 大曲幸町6-1 インターヴィレッジ大曲,,
北海道,,,はなふる恵庭店,北海道 恵庭市 南島松817-4 花の拠点はなふる,,
北海道,,,札幌美園店,北海道 札幌市豊平区 美園3条6丁目2-18,,
北海道,,,ブランチ札幌月寒店,北海道 札幌市豊平区 月寒東3条11丁目1-29 BRANCH札幌月寒,,
北海道,,,札幌西町店,北海道 札幌市西区 西町南4-1-20,,
北海道,,,TSUTAYA 札幌琴似店,北海道 札幌市西区 琴似4条1丁目1-1 コルテナⅠ,,
北海道,,,イオンモール札幌発寒店,北海道 札幌市西区 発寒8条12丁目1-1 イオンモール札幌発寒,,
北海道,,,札幌円山店,北海道 札幌市中央区 南1条西27丁目1-1 マルヤマクラス,,
北海道,,,札幌旭ケ丘店,北海道 札幌市中央区 南8条西23丁目4-6,,
北海道,,,札幌宮ケ丘店,北海道 札幌市中央区 宮ケ丘1-1-1,,
北海道,,,札幌環状通東店,北海道 札幌市東区 本町2条1丁目5-1,,
北海道,,,アリオ札幌店,北海道 札幌市東区 北７条東9丁目2-20 アリオ札幌,,
北海道,,,新千歳空港店,北海道 千歳市 美々　 新千歳空港連絡施設 3F,,
北海道,,,江別 蔦屋書店,北海道 江別市 牧場町14-1,,
北海道,,,旭川大雪通店,北海道 旭川市 大雪通4-491-2,,
北海道,,,イオンモール旭川駅前店,北海道 旭川市 宮下通7-2-5,,
北海道,,,イオンモール旭川西店,北海道 旭川市 緑町23丁目2161-3 イオンモール旭川西,,
北海道,,,旭川東光店,北海道 旭川市 東光13条6丁目2-6,,
北海道,,,旭川北彩都店,北海道 旭川市 宮前2条1丁目1-1,,
北海道,,,旭川医科大学病院店,北海道 旭川市 緑が丘東2条1丁目1-1 旭川医科大学病院,,
北海道,,,帯広稲田店,北海道 帯広市 稲田町南8線西10-7,,
北海道,,,帯広白樺通り店,北海道 帯広市 西21条南3丁目1-6,,
北海道,,,釧路鶴見橋店,北海道 釧路市 昭和中央1-1-1,,
北海道,,,イオン釧路店,北海道 釧路郡 釧路町桂木1-1-7 イオン釧路店,,
北海道,,,北見KITFRONT店,北海道 釧路郡 釧路町桂木1-1-7 イオン釧路店,,
北海道,,,北見KITFRONT店,北海道 北見市 柏陽町592-6 北見KITFRONT,,
北海道,,,北見三輪店,北海道 北見市 東三輪2-36-4,,
東京都,千代田区,,皇居外苑 和田倉噴水公園店,東京都 千代田区 皇居外苑3-1,139.76076,35.68366
東京都,千代田区,,竹橋パレスサイド店,東京都 千代田区 一ツ橋1-1-1 竹橋パレスサイドビルディング 1F,139.75751,35.69092
東京都,千代田区,,ＫＤＤＩ大手町ビル店,東京都 千代田区 大手町1-8-1 ＫＤＤＩ大手町ビル 1F,139.76434,35.68778
東京都,千代田区,,大手町東京サンケイビル店,東京都 千代田区 大手町1-7-2 東京サンケイビル　B1階,139.76505,35.68707
東京都,千代田区,,大手町ビル店,東京都 千代田区 大手町1-6-1 大手町ビル,139.76477,35.68644
東京都,千代田区,,新大手町ビル店,東京都 千代田区 大手町2-2-1 新大手町ビル,139.76729,35.68547
東京都,千代田区,,大手町プレイス店,東京都 千代田区 大手町2-3-1 大手町プレイス,139.76743,35.68678
東京都,千代田区,,丸の内三菱ビル店,東京都 千代田区 丸の内2-5-2 三菱ビル,139.76344,35.67997
東京都,千代田区,,丸の内新東京ビル店,東京都 千代田区 丸の内3-3-1 丸の内新東京ビル,139.76265,35.67756
東京都,千代田区,,ＪＲ東京駅日本橋口店,東京都 千代田区 丸の内1-9-1 丸の内中央ビル,139.76724,35.68125
東京都,千代田区,,東京ステーションシティ サピアタワー店,東京都 千代田区 丸の内1-7-12,139.76794,35.6835
東京都,千代田区,,グランスタ丸の内店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内地下1階改札外,139.76724,35.68125
東京都,千代田区,,東京駅 グランルーフ フロント店,東京都 千代田区 丸の内1-9-1 東京駅八重洲中央口B1F　グランルーフ フロント内,139.76724,35.68125
東京都,千代田区,,丸の内オアゾ店,東京都 千代田区 丸の内1-6-4 丸の内OAZO,139.76627,35.68371
東京都,千代田区,,ＪＲ東海 東京駅新幹線南ラチ内店,東京都 千代田区 丸の内1-9-1　 東京駅構内南部高架下 JRCP東京支店,139.76724,35.68125
東京都,千代田区,,グランスタ東京店,東京都 千代田区 丸の内1-9-1　 東京駅構内南部高架下 JRCP東京支店,139.76724,35.68125
東京都,千代田区,,グランスタ東京店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内１F グランスタ東京 京葉ストリートエリア,139.76724,35.68125
東京都,千代田区,,東京駅八重洲北口 東京ギフトパレット店,東京都 千代田区 丸の内1-9-1 東京駅,139.76724,35.68125
東京都,千代田区,,有楽町ビル 地下1階店,東京都 千代田区 有楽町1-10-1 有楽町ビル　地下1階,139.7618,35.67494
東京都,千代田区,,有楽町ビル1階店,東京都 千代田区 有楽町1-10-1 有楽町ビル 1階,139.7618,35.67494
東京都,千代田区,,東京ミッドタウン日比谷店,東京都 千代田区 有楽町1-1-4 東京ミッドタウン日比谷,139.75955,35.67409
東京都,千代田区,,有楽町メトロピア店,東京都 千代田区 有楽町1-11-1 東京メトロ有楽町駅構内,139.76288,35.67539
東京都,千代田区,,JR有楽町駅京橋口店,東京都 千代田区 有楽町2-9,139.76256,35.67451
東京都,千代田区,,日比谷シティ店,東京都 千代田区 内幸町2-2-3 日比谷国際ビルヂング B1F(B132),139.75482,35.67051
東京都,千代田区,,山王パークタワー店,東京都 千代田区 永田町2-11-1 山王パークタワー,139.74059,35.67326
