name,adress,latitude,longitude
札幌川下店,北海道 札幌市白石区 川下5条4丁目1-20,141.44638,43.05325
札幌北野店,北海道 札幌市清田区 北野6条5丁目6-36,141.45195,43.01604
イオンモール札幌平岡店,北海道 札幌市清田区 平岡三条5丁目3-1 イオンモール札幌平岡,141.45815,42.99822
札幌石山店,北海道 札幌市南区 石山2条9丁目7-50 アクロスプラザ札幌南,141.31355,42.96036
イオンモール札幌苗穂店,北海道 札幌市東区 東苗穂2条3丁目1-1 イオンモール札幌苗穂,141.40388,43.07969
秋田駅店,秋田県 秋田市 中通7-1-2,140.1291,39.72001
秋田東通店,秋田県 秋田市 東通4-5-20,140.14294,39.7131
秋田保戸野学園通り店,秋田県 秋田市 保戸野鉄砲町14-18,140.10899,39.72486
イオンモール秋田店,秋田県 秋田市 御所野地蔵田1-1-1,140.16089,39.66309
秋田アルス店,秋田県 秋田市 中通7-2-1 秋田ステーションビル アルス,140.12863,39.7124
秋田大学医学部附属病院店,秋田県 秋田市 広面蓮沼44-2 秋田大学医学部附属病院,140.14908,39.72915
横手店,秋田県 横手市 条里1-6-21,140.55635,39.31041
イオンモール大曲店,秋田県 大仙市 和合坪立177 イオンモール大曲,140.50928,39.43817
盛岡菜園店,岩手県 盛岡市 菜園1-11-11 ホテルロイヤル盛岡,141.14722,39.70141
盛岡フェザン店,岩手県 盛岡市 盛岡駅前通1-44 フェザン本館2FH,141.13716,39.70108
イオンモール盛岡店,岩手県 盛岡市 前潟4-7-1,141.0993,39.71134
盛岡西バイパス店,岩手県 盛岡市 北飯岡4-12-20,141.13429,39.66913
イオンモール盛岡南店,岩手県 盛岡市 本宮7-1-1 イオンモール盛岡南,141.12892,39.68413
一関店,岩手県 一関市 山目泥田55-1,141.11244,38.93769
奥州水沢店,岩手県 奥州市 水沢佐倉河羽黒田57-2,141.15359,39.14577
北上店,岩手県 北上市 北鬼柳18地割96-2,141.09955,39.29408
青森中央店,青森県 青森市 荒川藤戸134-2,140.73615,40.7957
八戸田向店,青森県 八戸市 田向2-12-11,141.51102,40.49411
八戸城下店,青森県 八戸市 城下4-2-1,141.48972,40.52098
TSUTAYA BOOKSTORE 弘前ヒロロ店,青森県 弘前市 駅前町9-20 ヒロロ,140.48166,40.59737
弘前さくら野店,青森県 弘前市 高崎2-17-6 さくら野百貨店,140.49619,40.60948
弘前公園前店,青森県 弘前市 高崎2-17-6 さくら野百貨店,140.49619,40.60948
弘前公園前店,青森県 弘前市 上白銀町1-1,140.46315,40.60315
青森ELM店,青森県 五所川原市 唐笠柳517-1 ELM,140.45395,40.7987
青森西バイパス店,青森県 青森市 三好2-2-36,140.70456,40.83131
青森ラビナ店,青森県 青森市 柳川1-2-3 青森駅ビル・ラビナ,140.73166,40.82395
八戸根城店,青森県 八戸市 根城7-11-30,141.46548,40.50286
イオンモール下田店,青森県 上北郡 おいらせ町中野平40-1 イオンモール下田,141.41777,40.60226
シエスタハコダテ店,北海道 函館市 本町24-1 シエスタハコダテ,140.75197,41.78972
函館ベイサイド店,北海道 函館市 末広町24-6 函館西波止場,140.71518,41.76646
函館蔦屋書店,北海道 函館市 石川町85-1,140.74364,41.83534
函館五稜郭駅前店,北海道 函館市 亀田本町46-1,140.73517,41.80393
イオンモール苫小牧店,北海道 苫小牧市 柳町3-1-20 イオンモール苫小牧,141.64203,42.65654
札幌グランドホテル店,北海道 札幌市中央区 北1条西4丁目 札幌グランドホテル 1F,141.35081,43.06221
大同生命札幌ビル ミレド地下1階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル地下1階,141.35168,43.06538
大同生命札幌ビル ミレド2階店,北海道 札幌市中央区 北三条西3丁目1 大同生命札幌ビル2階,141.35168,43.06538
札幌ステラプレイス センター1階店,北海道 札幌市中央区 北5条西2丁目5 JRタワー「ステラプレイス」,141.35123,43.068
札幌ステラプレイス イースト2階店,北海道 札幌市中央区 北5条西2丁目5,141.35123,43.068
札幌紀伊國屋書店,北海道 札幌市中央区 北5条西5丁目7 sapporo55　紀伊國屋書店内2階,141.34804,43.06703
イオン札幌桑園店,北海道 札幌市中央区 北5条西5丁目7 sapporo55　紀伊國屋書店内2階,141.34804,43.06703
イオン札幌桑園店,北海道 札幌市中央区 北8条西14丁目28 イオン札幌桑園ショッピングセンター,141.33359,43.06829
札幌南一条店,北海道 札幌市中央区 南1条西2丁目5 南一条Ｋビル 1F,141.35493,43.05902
札幌パルコ店,北海道 札幌市中央区 南1条西3丁目3 札幌パルコ,141.35335,43.05881
札幌パセオ店,北海道 札幌市北区 北6条西4丁目3-1 パセオ,141.34933,43.06841
札幌医科大学附属病院店,北海道 札幌市中央区 南1条西16丁目 札幌医科大学附属病院,141.33299,43.05634
北広島大曲店,北海道 北広島市 大曲幸町6-1 インターヴィレッジ大曲,141.46977,42.96912
はなふる恵庭店,北海道 恵庭市 南島松817-4 花の拠点はなふる,141.58411,42.89746
札幌美園店,北海道 札幌市豊平区 美園3条6丁目2-18,141.38962,43.04055
ブランチ札幌月寒店,北海道 札幌市豊平区 月寒東3条11丁目1-29 BRANCH札幌月寒,141.40971,43.02835
札幌西町店,北海道 札幌市西区 西町南4-1-20,141.29041,43.07768
TSUTAYA 札幌琴似店,北海道 札幌市西区 琴似4条1丁目1-1 コルテナⅠ,141.3037,43.0825
イオンモール札幌発寒店,北海道 札幌市西区 発寒8条12丁目1-1 イオンモール札幌発寒,141.27818,43.09579
札幌円山店,北海道 札幌市中央区 南1条西27丁目1-1 マルヤマクラス,141.31728,43.05497
札幌旭ケ丘店,北海道 札幌市中央区 南8条西23丁目4-6,141.3248,43.04713
札幌宮ケ丘店,北海道 札幌市中央区 宮ケ丘1-1-1,141.3127,43.0582
札幌環状通東店,北海道 札幌市東区 本町2条1丁目5-1,141.382,43.0826
アリオ札幌店,北海道 札幌市東区 北７条東9丁目2-20 アリオ札幌,141.36906,43.07132
新千歳空港店,北海道 千歳市 美々　 新千歳空港連絡施設 3F,141.69594,42.78392
江別 蔦屋書店,北海道 江別市 牧場町14-1,141.53838,43.11425
