name,latitude,longitude
のどごえ公園,34.661995,132.617962
広島市立安佐市民病院,34.506114,132.51588
広島市湯来交流体験センター,34.473678,132.240806
広島市国民宿舎湯来ロッジ,34.473429,132.239839
広島電鉄電停　横川駅,34.409492,132.450479
KOI PLACE（ひろでん会館跡地）,34.3972,132.428364
広島電鉄電停　広電西広島,34.39687,132.427941
広島市文化交流会館,34.388839,132.448986
アステールプラザ,34.387929,132.44805
広島城,34.402747,132.45905
公益財団法人ひろしま美術館,34.398616,132.458075
リーガロイヤルホテル広島,34.397343,132.457628
そごう広島店,34.395984,132.457148
紙屋町シャレオ,34.395295,132.457631
広島バスセンター,34.396021,132.457545
基町クレドパセーラ　ふれあい広場,34.396871,132.457588
広島電鉄電停　土橋,34.39449,132.446322
広島トランヴェールビルディング,34.395023,132.457848
広島電鉄電停　本通,34.393394,132.456978
縮景園,34.399578,132.467012
広島県立美術館,34.399952,132.466257
ドン．キホーテ,34.391258,132.462314
アリスガーデン(広島市西新天地公共広場),34.391692,132.462019
うらぶくろ商店街,34.392135,132.459841
旧日本銀行広島支店,34.391431,132.456665
広島電鉄電停　原爆ドーム前,34.396156,132.453994
原爆ドーム,34.39557,132.453779
おりづるタワー,34.395734,132.454634
カフェ　ポンテ,34.394083,132.454197
広島電鉄電停　袋町,34.391181,132.456212
レストハウス,34.393901,132.453243
広島平和記念資料館,34.391652,132.453001
広島国際会議場,34.392157,132.451258
えびす通り商店街,34.392852,132.463467
金座街商店街,34.392781,132.461987
本通商店街,34.392985,132.459315
広島高速道路公社　温品PA,34.42143,132.520534
広島港宇品旅客ターミナル,34.352458,132.455171
瀬戸内海汽船,34.35205,132.457072
瀬戸内シーライン,34.35205,132.457072
瀬戸内フェリー広島～松山,34.35205,132.457072
広島・呉・松山航路 クルーズフェリー　シーパセオ,34.35205,132.457072
広島駅総合案内所,34.398321,132.476236
ホテルグランヴィア広島,34.399,132.475537
広島電鉄電停　広島駅,34.396296,132.475205
広島駅南口広場,34.39684,132.474623
広島駅南口地下広場案内所,34.396212,132.474443
Mazda Zoom-Zoomスタジアム広島(3階コンコース),34.391911,132.484238
広島市現代美術館,34.385663,132.472716
広島市まんが図書館,34.387752,132.474461
安芸高田市歴史民俗博物館,34.672202,132.701291
たかみや湯の森,34.751112,132.6933
土師ダムサイクリングターミナル,34.657082,132.608576
神楽門前湯治村,34.722034,132.629061
三高港,34.25903,132.407484
小用港,34.248399,132.492612
切串港,34.284351,132.475601
ふるさと交流館(江田島市観光案内所),34.246167,132.476951
中町港,34.22387,132.444206
しまなみ街道　大浜PA（下り）,34.352268,133.170594
しまなみ街道　大浜PA（上り）,34.353069,133.169797
尾道市因島総合支所,34.294564,133.169292
尾道市営中央駐車場多目的ホール,34.284245,133.178104
新尾道駅市民ギャラリー,34.429963,133.190088
道の駅クロスロードみつぎ,34.511539,133.144652
しまなみ街道　瀬戸田PA（上り）,34.260248,133.079564
瀬戸田港,34.306937,133.084305
瀬戸田観光案内所 ,34.3061,133.0898
ロープウェイ山麓駅観光案内所,34.410667,133.201477
尾道商業会議所記念館 ,34.4065,133.1982
尾道駅観光案内所,34.404825,133.193796
尾道ポートターミナル ,34.4035,133.1928
千光寺新道,34.408815,133.199511
おんど観光文化会館うずしお,34.194632,132.536343
松濤園,34.187542,132.683923
県民の浜,34.164104,132.744509
入船山記念館,34.240393,132.563943
くれ観光情報プラザ,34.243746,132.55802
呉中央桟橋ターミナル,34.240774,132.556475
大和ミュージアム,34.241351,132.555896
御手洗休憩所,34.179944,132.865369
君田温泉　森の泉,34.899109,132.849351
江の川カヌー公園さくぎ,34.839375,132.722241
湯本豪一記念　日本妖怪博物館,34.815461,132.845496
三次市交通観光センター,34.80341,132.854707
広島三次ワイナリー,34.777936,132.866587
香遊ランド,34.618212,133.004891
せらにし青少年旅行村,34.642635,132.899486
竹原駅前観光案内処,34.3398,132.910212
ふれあいステーションただのうみ,34.336878,132.991127
忠海港,34.336919,132.994411
竹原市町並み保存センター,34.346902,132.910504
弥山本堂,34.278172,132.319722
弥山展望台,34.279813,132.319771
宮島ロープウエー,34.293252,132.326676
有之浦 （宮島クリニック周辺）,34.299125,132.321295
宮島包ヶ浦自然公園,34.295143,132.341405
宮島町御笠浜,34.297274,132.319075
宮島桟橋前広場,34.301871,132.322241
国民宿舎みやじま杜の宿,34.294806,132.314486
大聖院,34.292023,132.318467
西松原 （大願寺横公衆トイレ周辺）,34.29544,132.318517
グローバルリゾート総合スポーツセンターサンチュリー,34.353326,132.322807
東広島市観光案内所,34.431072,132.743404
西条酒蔵通り観光案内所,34.42978,132.746826
福山城,34.49069,133.360904
福寿会館,34.492066,133.361306
ＪＲ福山駅観光案内所,34.4896,133.362106
