name,latitude,longitude
のどごえ公園,132.617962,34.661995
広島市立安佐市民病院,132.51588,34.506114
広島市湯来交流体験センター,132.240806,34.473678
広島市国民宿舎湯来ロッジ,132.239839,34.473429
広島電鉄電停　横川駅,132.450479,34.409492
KOI PLACE（ひろでん会館跡地）,132.428364,34.3972
広島電鉄電停　広電西広島,132.427941,34.39687
広島市文化交流会館,132.448986,34.388839
アステールプラザ,132.44805,34.387929
広島城,132.45905,34.402747
公益財団法人ひろしま美術館,132.458075,34.398616
リーガロイヤルホテル広島,132.457628,34.397343
そごう広島店,132.457148,34.395984
紙屋町シャレオ,132.457631,34.395295
広島バスセンター,132.457545,34.396021
基町クレドパセーラ　ふれあい広場,132.457588,34.396871
広島電鉄電停　土橋,132.446322,34.39449
広島トランヴェールビルディング,132.457848,34.395023
広島電鉄電停　本通,132.456978,34.393394
縮景園,132.467012,34.399578
広島県立美術館,132.466257,34.399952
ドン．キホーテ,132.462314,34.391258
アリスガーデン(広島市西新天地公共広場),132.462019,34.391692
うらぶくろ商店街,132.459841,34.392135
旧日本銀行広島支店,132.456665,34.391431
広島電鉄電停　原爆ドーム前,132.453994,34.396156
原爆ドーム,132.453779,34.39557
おりづるタワー,132.454634,34.395734
カフェ　ポンテ,132.454197,34.394083
広島電鉄電停　袋町,132.456212,34.391181
レストハウス,132.453243,34.393901
広島平和記念資料館,132.453001,34.391652
広島国際会議場,132.451258,34.392157
えびす通り商店街,132.463467,34.392852
金座街商店街,132.461987,34.392781
本通商店街,132.459315,34.392985
広島高速道路公社　温品PA,132.520534,34.42143
広島港宇品旅客ターミナル,132.455171,34.352458
瀬戸内海汽船,132.457072,34.35205
瀬戸内シーライン,132.457072,34.35205
瀬戸内フェリー広島～松山,132.457072,34.35205
広島・呉・松山航路 クルーズフェリー　シーパセオ,132.457072,34.35205
広島駅総合案内所,132.476236,34.398321
ホテルグランヴィア広島,132.475537,34.399
広島電鉄電停　広島駅,132.475205,34.396296
広島駅南口広場,132.474623,34.39684
