name,latitude,longitude
福岡市男女共同参画推進センター・アミカス,33.567529,130.413573
アゴーラ福岡山の上ホテル＆スパ,33.572835,130.382743
福岡市営地下鉄姪浜駅,33.583694,130.325477
福岡市営地下鉄室見駅,33.580962,130.340165
福岡市営地下鉄藤崎駅,33.581371,130.348304
福岡市営地下鉄西新駅,33.583825,130.359757
福岡市営地下鉄唐人町駅,33.590261,130.37047
福岡市営地下鉄大濠公園駅,33.590085,130.378815
福岡市営地下鉄赤坂駅,33.589155,130.391015
福岡市営地下鉄天神駅,33.591423,130.399062
福岡市営地下鉄中洲川端駅,33.59479,130.406406
福岡市営地下鉄祗園駅,33.594117,130.414613
福岡市営地下鉄博多駅,33.590194,130.420654
福岡市営地下鉄東比恵駅,33.589957,130.431324
福岡市営地下鉄福岡空港駅,33.597028,130.448793
福岡市観光案内所博多,33.590524,130.421069
福岡市営地下鉄呉服町駅,33.598222,130.409893
福岡市営地下鉄千代県庁口駅,33.602539,130.414281
福岡市営地下鉄馬出九大病院前駅,33.60933,130.419399
福岡市営地下鉄箱崎宮前駅,33.615781,130.419559
福岡市営地下鉄箱崎九大前駅,33.622142,130.42104
福岡市営地下鉄貝塚駅,33.631897,130.425482
福岡市営地下鉄橋本駅,33.555147,130.321026
福岡市営地下鉄次郎丸駅,33.552572,130.32948
福岡市営地下鉄賀茂駅,33.550524,130.337884
福岡市営地下鉄野芥駅,33.548307,130.34655
福岡市営地下鉄梅林駅,33.545794,130.354929
福岡市営地下鉄福大前駅,33.547493,130.362386
福岡市営地下鉄七隈駅,33.553251,130.361677
福岡市営地下鉄金山駅,33.559349,130.361581
福岡市営地下鉄茶山駅,33.566054,130.365443
福岡市営地下鉄別府駅,33.574135,130.369606
福岡市営地下鉄六本松駅,33.577639,130.377288
福岡市営地下鉄桜坂駅,33.577264,130.386794
福岡市営地下鉄薬院大通駅,33.580383,130.396171
福岡市営地下鉄薬院駅,33.581724,130.401664
福岡市営地下鉄渡辺通駅,33.58403,130.404904
福岡市営地下鉄天神南駅,33.588222,130.401696
博多港国際ターミナル,33.608294,130.400137
福岡空港国内線ターミナル,33.597275,130.447669
福岡市博物館,33.589907,130.352923
福岡市美術館,33.583771,130.379874
福岡タワー,33.593332,130.351525
サットンホテル博多シティ,33.586443,130.416303
福岡ＳＲＰセンタービル,33.59333,130.355862
福岡空港国際線ターミナル,33.584772,130.444064
JR九大学研都市駅,33.578158,130.259743
JR博多駅,33.590002,130.420622
「博多町家」ふるさと館,33.593732,130.411451
東洋ホテル,33.591873,130.422837
ホテルニューオータニ博多,33.583092,130.406304
福岡市NPO・ボランティア交流センター,33.58626405,130.3977564
福岡銀行（ふくぎん本店広場）,33.591395,130.397823
福岡市観光案内所天神,33.589441,130.399218
福岡市役所西広場,33.590175,130.401074
福岡市役所本庁舎1Ｆロビー,33.590313,130.401735
JR吉塚駅,33.607382,130.423915
JR九産大前駅,33.673446,130.441379
JR南福岡駅,33.542325,130.460114
JR千早駅,33.649922,130.440974
JR福工大前駅,33.698851,130.440674
JR香椎駅,33.659353,130.443779
ふくふくプラザ,33.592601,130.373565
レソラ天神ビル,33.588436,130.39837
福岡パルコ,33.590715,130.398622
西鉄天神バスセンター,33.589138,130.399552
博多バスターミナル,33.591395,130.419667
THEBEACH,33.594868,130.351475
西鉄福岡（天神）駅,33.589138,130.399552
福岡市総合図書館,33.590082,130.350958
キャナルシティオーパ,33.58976,130.411229
大丸福岡天神店,33.588791,130.401218
岩田屋きらめき広場,33.58891671,130.397506
レソラサウステラス,33.586955,130.399774
ソラリアステージ,33.590016,130.399021
天神コア,33.590713,130.399821
中央ふ頭クルーズセンター,33.610508,130.396832
博多DOIMACHIビル自動販売機,33.594857,130.407322
博多駅地下街,33.590595,130.419425
博多1番街,33.590206,130.419667
マイング,33.591082,130.420579
博多リバレインモール,33.59496916,130.4058107
福岡市立中央児童会館あいくる,33.58626201,130.397765
なみきスクエア,33.64969154,130.4388292
西鉄グランドホテル,33.58986758,130.3953872
国営海の中道海浜公園,33.6645196,130.3610382
西鉄イン天神,33.58560115,130.4016251
西鉄イン福岡,33.5924764,130.4025356
西鉄ホテルクルーム博多,33.59237436,130.419899
新天町商店街,33.59017601,130.3974589
マリンワールド海の中道,33.66078166,130.3633961
FUKUOKAgrowthnext,33.58894933,130.3949223
藤崎バスターミナル,33.58163826,130.3475214
はかた伝統工芸館,33.59377533,130.4103883
福岡市スタートアップカフェ,33.58904301,130.3951924
福岡市科学館,33.57688062,130.3780668
福岡アジア美術館,33.5950391,130.406295
川端通商店街,33.59386961,130.4077953
岩田屋本店本館地下2階入口自動販売機,33.58909305,130.3979375
三の丸スクエア,33.58648476,130.3800932
福岡城むかし探訪館,33.58737585,130.3847462
鴻臚館跡展示館,33.58593626,130.3853624
福岡市民防災センター,33.58932406,130.355617
福岡市植物園,33.57108269,130.3898402
福岡市動物園,33.57227767,130.3903556
福岡市南区役所本館,33.56162114,130.4264564
福岡市南保健福祉センター,33.56130265,130.4267978
福岡市赤煉瓦文化館,33.59316736,130.4018548
志賀島旅客待合所,33.66223981,130.3142465
西戸崎旅客待合所,33.64941294,130.3591688
玄界島旅客待合所,33.68227177,130.2350195
姪浜旅客待合所,33.5972397,130.327499
能古旅客待合所,33.61249687,130.3109835
小呂島旅客待合所,33.86351162,130.0353996
